time,vin,clk,v_code
5.102500004999999799e-11,4.887616645492330169e-04,5.102500005000000227e-01,5.865102639296190280e-03
1.000099999999999962e-06,5.497401441646810119e-04,1.000000000000000000e+00,5.865102639296190280e-03
2.000100000000000129e-06,6.107156375053459946e-04,9.999999999979579668e-01,5.865102639296190280e-03
3.000099999999999872e-06,6.716911308460109774e-04,9.999999999979579668e-01,5.865102639296190280e-03
4.000100000000000038e-06,7.326666241866749843e-04,1.000000000000000000e+00,5.865102639296190280e-03
5.000099999999999781e-06,7.936421175273399671e-04,1.000000000000000000e+00,5.865102639296190280e-03
6.000100000000000371e-06,8.546176108680049498e-04,1.000000000000000000e+00,5.865102639296190280e-03
7.000100000000000114e-06,9.155931042086689568e-04,1.000000000000000000e+00,5.865102639296190280e-03
8.000099999999999857e-06,9.765685975493339395e-04,1.000000000000000000e+00,5.865102639296190280e-03
9.000100000000000447e-06,1.037544090890000006e-03,1.000000000000000000e+00,5.865102639296190280e-03
1.000009999999999934e-05,1.098519584230660002e-03,1.000000000000000000e+00,5.865102639296190280e-03
1.100009999999999993e-05,1.159495077571329972e-03,1.000000000000000000e+00,5.865102639296190280e-03
1.200010000000000052e-05,1.220470570911989967e-03,1.000000000000000000e+00,5.865102639296190280e-03
1.300009999999999942e-05,1.281446064252659937e-03,1.000000000000000000e+00,5.865102639296190280e-03
1.400010000000000001e-05,1.342421557593319933e-03,1.000000000000000000e+00,5.865102639296190280e-03
1.500005102499999944e-05,1.403394064659199952e-03,5.102500004988520521e-01,6.842619745845549689e-03
1.600009999999999950e-05,1.464372544274649898e-03,1.000000000000000000e+00,6.842619745845549689e-03
1.700010000000000009e-05,1.525348037615320085e-03,1.000000000000000000e+00,6.842619745845549689e-03
1.800010000000000068e-05,1.586323530955980081e-03,1.000000000000000000e+00,6.842619745845549689e-03
1.900010000000000127e-05,1.647299024296650051e-03,1.000000000000000000e+00,6.842619745845549689e-03
2.000009999999999847e-05,1.708274517637310046e-03,1.000000000000000000e+00,6.842619745845549689e-03
2.100009999999999906e-05,1.769250010977980016e-03,1.000000000000000000e+00,6.842619745845549689e-03
2.200009999999999965e-05,1.830225504318640012e-03,1.000000000000000000e+00,6.842619745845549689e-03
2.300010000000000024e-05,1.891200997659300007e-03,1.000000000000000000e+00,6.842619745845549689e-03
2.400010000000000083e-05,1.952176490999969977e-03,1.000000000000000000e+00,6.842619745845549689e-03
2.500010000000000142e-05,2.013151984340630189e-03,1.000000000000000000e+00,6.842619745845549689e-03
2.600009999999999862e-05,2.074127477681300159e-03,1.000000000000000000e+00,6.842619745845549689e-03
2.700009999999999921e-05,2.135102971021960155e-03,1.000000000000000000e+00,6.842619745845549689e-03
2.800009999999999980e-05,2.196078464362630125e-03,1.000000000000000000e+00,6.842619745845549689e-03
2.900010000000000039e-05,2.257053957703290120e-03,1.000000000000000000e+00,6.842619745845549689e-03
3.000010000000000098e-05,2.318029451043960090e-03,1.000000000000000000e+00,6.842619745845549689e-03
3.100010000000000157e-05,2.379004944384620086e-03,9.999999999344300061e-01,6.842619745845549689e-03
3.200005102500010095e-05,2.439977451450500105e-03,5.102500005496739544e-01,7.820136852394920374e-03
3.300010000000000275e-05,2.500955931065950051e-03,1.000000000000000000e+00,7.820136852394920374e-03
3.400009999999999995e-05,2.561931424406620021e-03,9.999999999344300061e-01,7.820136852394920374e-03
3.500009999999999715e-05,2.622906917747280017e-03,1.000000000000000000e+00,7.820136852394920374e-03
3.600010000000000113e-05,2.683882411087949987e-03,9.999999999344300061e-01,7.820136852394920374e-03
3.700009999999999833e-05,2.744857904428609982e-03,1.000000000000000000e+00,7.820136852394920374e-03
3.800010000000000231e-05,2.805833397769279952e-03,1.000000000000000000e+00,7.820136852394920374e-03
3.900009999999999951e-05,2.866808891109939948e-03,9.999999999344300061e-01,7.820136852394920374e-03
